Time,Agent 1,Agent 2,Agent 3,Agent 4
147.9,988.040284958,638.215527772,638.215527772,988.040284958
148.0,988.284053565,640.310292189,640.310292189,988.284053565
148.1,988.522853565,642.366519417,642.366519417,988.522853565
148.2,988.756786229,644.384910163,644.384910163,988.756786229
148.3,988.985950766,646.366152579,646.366152579,988.985950766
148.4,989.210444362,648.310922485,648.310922485,989.210444362
148.5,989.430362223,650.219883581,650.219883581,989.430362223
148.6,989.645797613,652.093687668,652.093687668,989.645797613
148.7,989.856841897,653.932974849,653.932974849,989.856841897
148.8,990.063584576,655.738373743,655.738373743,990.063584576
148.9,990.266113326,657.510501679,657.510501679,990.266113326
149.0,990.46451404,659.249964903,659.249964903,990.46451404
149.1,990.658870855,660.957358767,660.957358767,990.658870855
149.2,990.849266198,662.633267925,662.633267925,990.849266198
149.3,991.035780812,664.278266522,664.278266522,991.035780812
149.4,991.218493796,665.892918377,665.892918377,991.218493796
149.5,991.397482637,667.477777165,667.477777165,991.397482637
149.6,991.572823242,669.0333866,669.0333866,991.572823242
149.7,991.744589972,670.560280608,670.560280608,991.744589972
149.8,991.91285567,672.058983502,672.058983502,991.91285567
149.9,992.077691697,673.53001015,673.53001015,992.077691697
150.0,992.239167958,674.973866144,674.973866144,992.239167958
150.1,992.397352932,676.391047963,676.391047963,992.397352932
150.2,992.552313705,677.782043135,677.782043135,992.552313705
150.3,992.704115994,679.147330397,679.147330397,992.704115994
150.4,992.852824176,680.487379847,680.487379847,992.852824176
150.5,992.998501317,681.802653101,681.802653101,992.998501317
150.6,993.141209197,683.093603443,683.093603443,993.141209197
150.7,993.281008337,684.360675971,684.360675971,993.281008337
150.8,993.417958025,685.604307744,685.604307744,993.417958025
150.9,993.552116339,686.824927922,686.824927922,993.552116339
151.0,993.683540174,688.022957913,688.022957913,993.683540174
151.1,993.812285266,689.198811502,689.198811502,993.812285266
151.2,993.938406214,690.352894994,690.352894994,993.938406214
151.3,994.061956505,691.485607343,691.485607343,994.061956505
151.4,994.182988536,692.597340284,692.597340284,994.182988536
151.5,994.301553633,693.688478462,693.688478462,994.301553633
151.6,994.417702081,694.759399556,694.759399556,994.417702081
151.7,994.531483135,695.810474407,695.810474407,994.531483135
151.8,994.64294505,696.842067137,696.842067137,994.64294505
151.9,994.752135095,697.854535269,697.854535269,994.752135095
152.0,994.859099576,698.848229847,698.848229847,994.859099576
152.1,994.963883857,699.823495548,699.823495548,994.963883857
152.2,995.066532374,700.780670799,700.780670799,995.066532374
152.3,995.167088661,701.720087886,701.720087886,995.167088661
152.4,995.265595361,702.642073067,702.642073067,995.265595361
152.5,995.362094251,703.546946675,703.546946675,995.362094251
152.6,995.456626254,704.435023229,704.435023229,995.456626254
152.7,995.549231462,705.306611534,705.306611534,995.549231462
152.8,995.639949145,706.162014786,706.162014786,995.639949145
152.9,995.728817778,707.00153067,707.00153067,995.728817778
153.0,995.815875048,707.825451461,707.825451461,995.815875048
153.1,995.901157875,708.634064119,708.634064119,995.901157875
153.2,995.984702427,709.427650385,709.427650385,995.984702427
153.3,996.066544135,710.206486875,710.206486875,996.066544135
153.4,996.146717705,710.970845172,710.970845172,996.146717705
153.5,996.22525714,711.720991914,711.720991914,996.22525714
153.6,996.302195746,712.457188885,712.457188885,996.302195746
153.7,996.377566153,713.179693103,713.179693103,996.377566153
153.8,996.451400325,713.888756901,713.888756901,996.451400325
153.9,996.523729574,714.584628018,714.584628018,996.523729574
154.0,996.594584573,715.267549675,715.267549675,996.594584573
154.1,996.663995372,715.937760659,715.937760659,996.663995372
154.2,996.731991407,716.595495404,716.595495404,996.731991407
154.3,996.798601514,717.240984068,717.240984068,996.798601514
154.4,996.863853942,717.874452607,717.874452607,996.863853942
154.5,996.927776365,718.496122858,718.496122858,996.927776365
154.6,996.99039589,719.106212604,719.106212604,996.99039589
154.7,997.051739074,719.704935656,719.704935656,997.051739074
154.8,997.111831932,720.292501916,720.292501916,997.111831932
154.9,997.170699949,720.869117453,720.869117453,997.170699949
155.0,997.22836809,721.434984573,721.434984573,997.22836809
155.1,997.284860811,721.990301881,721.990301881,997.284860811
155.2,997.340202071,722.535264353,722.535264353,997.340202071
155.3,997.394415339,723.0700634,723.0700634,997.394415339
155.4,997.447523607,723.594886931,723.594886931,997.447523607
155.5,997.499549396,724.109919417,724.109919417,997.499549396
155.6,997.550514771,724.615341955,724.615341955,997.550514771
155.7,997.600441345,725.111332326,725.111332326,997.600441345
155.8,997.649350292,725.598065056,725.598065056,997.649350292
155.9,997.697262354,726.075711476,726.075711476,997.697262354
156.0,997.744197849,726.544439777,726.544439777,997.744197849
156.1,997.790176683,727.004415072,727.004415072,997.790176683
156.2,997.835218354,727.455799443,727.455799443,997.835218354
156.3,997.879341964,727.898752006,727.898752006,997.879341964
156.4,997.922566226,728.333428957,728.333428957,997.922566226
156.5,997.964909471,728.759983629,728.759983629,997.964909471
156.6,998.006389655,729.178566541,729.178566541,998.006389655
156.7,998.04702437,729.589325452,729.589325452,998.04702437
156.8,998.08683085,729.992405408,729.992405408,998.08683085
156.9,998.125825974,730.387948793,730.387948793,998.125825974
157.0,998.164026282,730.776095379,730.776095379,998.164026282
157.1,998.201447972,731.156982368,731.156982368,998.201447972
157.2,998.238106916,731.530744444,731.530744444,998.238106916
157.3,998.27401866,731.897513815,731.897513815,998.27401866
157.4,998.309198434,732.257420263,732.257420263,998.309198434
157.5,998.343661156,732.610591179,732.610591179,998.343661156
157.6,998.377421444,732.957151618,732.957151618,998.377421444
157.7,998.410493612,733.297224331,733.297224331,998.410493612
157.8,998.442891688,733.630929813,733.630929813,998.442891688
157.9,998.474629412,733.958386342,733.958386342,998.474629412
158.0,998.505720241,734.279710021,734.279710021,998.505720241
158.1,998.536177363,734.595014815,734.595014815,998.536177363
158.2,998.566013693,734.90441259,734.90441259,998.566013693
158.3,998.595241885,735.208013154,735.208013154,998.595241885
158.4,998.623874334,735.505924292,735.505924292,998.623874334
158.5,998.651923182,735.798251804,735.798251804,998.651923182
158.6,998.679400326,736.085099541,736.085099541,998.679400326
158.7,998.706317417,736.366569438,736.366569438,998.706317417
158.8,998.732685872,736.642761554,736.642761554,998.732685872
158.9,998.758516872,736.913774103,736.913774103,998.758516872
159.0,998.783821372,737.179703485,737.179703485,998.783821372
159.1,998.808610104,737.440644326,737.440644326,998.808610104
159.2,998.83289358,737.696689504,737.696689504,998.83289358
159.3,998.856682099,737.947930183,737.947930183,998.856682099
159.4,998.879985749,738.194455846,738.194455846,998.879985749
159.5,998.902814413,738.436354324,738.436354324,998.902814413
159.6,998.925177772,738.673711825,738.673711825,998.925177772
159.7,998.94708531,738.906612967,738.906612967,998.94708531
159.8,998.968546319,739.135140804,739.135140804,998.968546319
159.9,998.989569899,739.359376856,739.359376856,998.989569899
160.0,999.010164966,739.579401136,739.579401136,999.010164966
160.1,999.030340255,739.79529218,739.79529218,999.030340255
160.2,999.050104322,740.00712707,740.00712707,999.050104322
160.3,999.069465548,740.214981464,740.214981464,999.069465548
160.4,999.088432144,740.418929622,740.418929622,999.088432144
160.5,999.107012155,740.619044429,740.619044429,999.107012155
160.6,999.125213458,740.815397421,740.815397421,999.125213458
160.7,999.143043774,741.008058812,741.008058812,999.143043774
160.8,999.160510664,741.197097517,741.197097517,999.160510664
160.9,999.177621535,741.382581173,741.382581173,999.177621535
161.0,999.194383645,741.564576167,741.564576167,999.194383645
161.1,999.210804101,741.743147655,741.743147655,999.210804101
161.2,999.226889868,741.918359588,741.918359588,999.226889868
161.3,999.242647766,742.090274731,742.090274731,999.242647766
161.4,999.25808448,742.258954687,742.258954687,999.25808448
161.5,999.273206556,742.424459916,742.424459916,999.273206556
161.6,999.288020406,742.586849759,742.586849759,999.288020406
161.7,999.302532313,742.746182455,742.746182455,999.302532313
161.8,999.316748431,742.902515166,742.902515166,999.316748431
161.9,999.33067479,743.055903992,743.055903992,999.33067479
162.0,999.344317295,743.206403991,743.206403991,999.344317295
162.1,999.357681733,743.354069203,743.354069203,999.357681733
162.2,999.370773769,743.498952663,743.498952663,999.370773769
162.3,999.383598958,743.641106421,743.641106421,999.383598958
162.4,999.396162738,743.780581564,743.780581564,999.396162738
162.5,999.408470436,743.917428227,743.917428227,999.408470436
162.6,999.420527273,744.051695616,744.051695616,999.420527273
162.7,999.432338363,744.183432022,744.183432022,999.432338363
162.8,999.443908712,744.312684841,744.312684841,999.443908712
162.9,999.45524323,744.439500587,744.439500587,999.45524323
163.0,999.466346722,744.563924908,744.563924908,999.466346722
163.1,999.477223897,744.686002607,744.686002607,999.477223897
163.2,999.487879368,744.805777651,744.805777651,999.487879368
163.3,999.498317655,744.923293193,744.923293193,999.498317655
163.4,999.508543183,745.038591579,745.038591579,999.508543183
163.5,999.51856029,745.151714372,745.151714372,999.51856029
163.6,999.528373224,745.262702359,745.262702359,999.528373224
163.7,999.537986145,745.371595569,745.371595569,999.537986145
163.8,999.547403132,745.478433286,745.478433286,999.547403132
163.9,999.556628177,745.583254063,745.583254063,999.556628177
164.0,999.565665192,745.686095735,745.686095735,999.565665192
164.1,999.574518011,745.786995433,745.786995433,999.574518011
164.2,999.583190388,745.885989597,745.885989597,999.583190388
164.3,999.591686,745.983113986,745.983113986,999.591686
164.4,999.60000845,746.078403696,746.078403696,999.60000845
164.5,999.608161268,746.171893168,746.171893168,999.608161268
164.6,999.616147912,746.2636162,746.2636162,999.616147912
164.7,999.623971768,746.353605961,746.353605961,999.623971768
164.8,999.631636154,746.441895003,746.441895003,999.631636154
164.9,999.639144322,746.528515268,746.528515268,999.639144322
165.0,999.646499454,746.613498107,746.613498107,999.646499454
